/home/hustzyw/jdk1.8.0_191/bin/java -cp /home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/leveldbjni-binding/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/conf:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/core-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/htrace-core4-4.1.0-incubating.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-mapper-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/jackson-core-asl-1.9.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/HdrHistogram-2.1.4.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldb-api-0.6.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/leveldbjni-binding-0.16.0-SNAPSHOT.jar:/home/hustzyw/xiaohu/ycsb-leveldbjni-binding-0.16.0/lib/novelsmjni.jar com.yahoo.ycsb.Client -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
Command line: -db com.yahoo.ycsb.db.LevelDbJniClient -s -P our-nvm-workloads/count5m/workloada -p rocksdb.dir=/mnt/ssd/xiaohu/novelsm-count5m -load
YCSB Client 0.16.0-SNAPSHOT

Loading workload...
Starting test.
FLAGS_use_existing_db: 0
FLAGS_db_disk: /mnt/ssd/xiaohu/novelsm-count5m/
FLAGS_db_mem:  /pmem/xiaohu/novelsm-count5m/
FLAGS_nvm_buffer_size:  67108864
FLAGS_num_levels:  2
FLAGS_num_read_threads:  1

DBWrapper: report latency for each error is false and specific error codes to track for latency are: []
2019-01-30 07:32:59:191 0 sec: 0 operations; est completion in 0 second 
2019-01-30 07:39:29:155 390 sec: 1480522 operations; 5376.95 current ops/sec; est completion in 15 minutes [INSERT: Count=53740, Max=448255, Min=20, Avg=184.72, 90=55, 99=1257, 99.9=8511, 99.99=11959] 
2019-01-30 07:39:39:160 400 sec: 1487827 operations; 730.21 current ops/sec; est completion in 15 minutes [INSERT: Count=7305, Max=12071, Min=1126, Avg=1364.58, 90=1257, 99=8631, 99.9=11559, 99.99=12055] 
2019-01-30 07:39:49:155 410 sec: 1509906 operations; 2209 current ops/sec; est completion in 15 minutes [INSERT: Count=22100, Max=514047, Min=21, Avg=450.16, 90=1249, 99=1270, 99.9=9871, 99.99=11303] 
2019-01-30 07:39:59:160 420 sec: 1563839 operations; 5390.6 current ops/sec; est completion in 15 minutes [INSERT: Count=53911, Max=470271, Min=20, Avg=184.15, 90=69, 99=1280, 99.9=9247, 99.99=12447] 
2019-01-30 07:40:09:155 430 sec: 1571175 operations; 733.97 current ops/sec; est completion in 15 minutes [INSERT: Count=7336, Max=16311, Min=1147, Avg=1358.21, 90=1280, 99=1973, 99.9=13631, 99.99=16167] 
2019-01-30 07:40:19:157 440 sec: 1579115 operations; 793.84 current ops/sec; est completion in 15 minutes [INSERT: Count=7955, Max=70847, Min=38, Avg=1252.3, 90=1281, 99=1334, 99.9=12791, 99.99=13935] 
2019-01-30 07:40:29:155 450 sec: 1647427 operations; 6831.88 current ops/sec; est completion in 15 minutes [INSERT: Count=68298, Max=431359, Min=20, Avg=145.28, 90=42, 99=1254, 99.9=8751, 99.99=11559] 
2019-01-30 07:40:39:160 460 sec: 1654738 operations; 730.81 current ops/sec; est completion in 15 minutes [INSERT: Count=7311, Max=13023, Min=1119, Avg=1363.51, 90=1259, 99=8983, 99.9=12239, 99.99=12615] 
2019-01-30 07:40:49:155 470 sec: 1662065 operations; 733.07 current ops/sec; est completion in 15 minutes [INSERT: Count=7326, Max=13687, Min=1126, Avg=1359.36, 90=1259, 99=8951, 99.9=12751, 99.99=13519] 
2019-01-30 07:40:59:160 480 sec: 1726887 operations; 6478.96 current ops/sec; est completion in 15 minutes [INSERT: Count=64822, Max=449791, Min=21, Avg=153.15, 90=44, 99=1254, 99.9=4615, 99.99=12719] 
